route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed,shape_id
TAE:A,REGEN_37,TAE:JLMMARAHG,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHH,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHI,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMAAAIQ,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AA$3
TAE:A,REGEN_37,TAE:JLMMARAHJ,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHK,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHL,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHM,"Cerisaie","",1,105,0,0,TAE:4188$ARD$23
TAE:A,REGEN_37,TAE:JLMMARAHN,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHO,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHP,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHQ,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHR,"Cerisaie","",1,103,0,0,TAE:4188$ARD$23
TAE:A,REGEN_37,TAE:JLMMARAHS,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIR,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AA$3
TAE:A,REGEN_37,TAE:JLMMARAHT,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHU,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHV,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHW,"Mairie de Cléon","",1,101,0,0,TAE:4188$ARF$21
TAE:A,REGEN_37,TAE:JLMMARAHX,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHY,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAHZ,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIA,"Cerisaie","",1,101,0,0,TAE:4188$ARD$23
TAE:A,REGEN_37,TAE:JLMMARAIB,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIC,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIS,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AA$3
TAE:A,REGEN_37,TAE:JLMMARAID,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIE,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIF,"Cerisaie","",1,101,0,0,TAE:4188$ARD$23
TAE:A,REGEN_37,TAE:JLMMARAIG,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIH,"Mairie de Cléon","",1,101,0,0,TAE:4188$ARF$21
TAE:A,REGEN_37,TAE:JLMMARAII,"Mairie de Cléon","",1,105,0,0,TAE:4188$ARF$21
TAE:A,REGEN_37,TAE:JLMMARAIJ,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIK,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIL,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIM,"Mairie de Cléon","",1,105,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIT,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AA$3
TAE:A,REGEN_37,TAE:JLMMARAIN,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIO,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIP,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIQ,"Mairie de Cléon","",1,104,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIR,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIS,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIT,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIU,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_37,TAE:JLMMARAIV,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAIW,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMAAAIU,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AA$3
TAE:A,REGEN_41,TAE:MSAMARAIX,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAIY,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAIZ,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJA,"Mairie de Cléon","",1,103,0,0,TAE:4188$ARF$21
TAE:A,REGEN_41,TAE:MSAMARAJB,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJC,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJD,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJE,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJF,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJG,"Cerisaie","",1,101,0,0,TAE:4188$ARD$23
TAE:A,REGEN_9,TAE:JJVAAAFA,"Mairie de St-Pierre","",0,101,0,0,TAE:4188$AA$3
TAE:A,REGEN_41,TAE:MSAMAAAIV,"Mairie de St-Pierre","",0,102,0,0,TAE:4188$AAD$1
TAE:A,REGEN_41,TAE:MSAMARAJH,"Mairie de Cléon","",1,101,0,0,TAE:4188$ARF$21
TAE:A,REGEN_41,TAE:MSAMARAJI,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJJ,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJK,"Mairie de Cléon","",1,101,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJL,"Cerisaie","",1,101,0,0,TAE:4188$ARD$23
TAE:A,REGEN_41,TAE:MSAMARAJM,"Mairie de Cléon","",1,103,0,0,TAE:4188$ARF$21
TAE:A,REGEN_41,TAE:MSAMARAJN,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJO,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJP,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJQ,"Cerisaie","",1,103,0,0,TAE:4188$ARD$23
TAE:A,REGEN_41,TAE:MSAMAAAIW,"Mairie de St-Pierre","",0,103,0,0,TAE:4188$AA$3
TAE:A,REGEN_41,TAE:MSAMARAJR,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJS,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJT,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJU,"Mairie de Cléon","",1,102,0,0,TAE:4188$AR$22
TAE:A,REGEN_41,TAE:MSAMARAJV,"Mairie de Cléon","",1,103,0,0,TAE:4188$AR$22
